chain,platform,pool_tokens,pool_rewards,liquidity_locked,apy,apy_max
ethereum,stakedao,"['FRAX', 'DAI', 'USDC', 'USDT']","['FXS', 'SDT']","$4,745,559.02",17.45%,87.27%
ethereum,convex,"['FRAX', 'USDC', 'apeUSD']","['CRV', 'CVX']","$614,995.25",17.12%,17.12%
ethereum,gelato,"['FRAX', 'DAI']",['FXS'],"$2,393,766.13",16.07%,80.37%
ethereum,gearbox,['FRAX'],['GEAR'],"$1,301,322.43",15.80%,15.80%
ethereum,convex,['FRAX'],['FXS'],$499.94,8.98%,8.98%
avalanche,echidna,['FRAX'],['ECD'],"$14,145.19",7.39%,29.58%
avalanche,platypus,['FRAX'],['PTP'],"$14,145.19",7.39%,29.58%
avalanche,vector,['FRAX'],['PTP'],"$14,145.19",7.39%,29.58%
moonbeam,stellaswap,"['FRAX', 'MAI', 'USDT', 'BUSD', 'USDC']",['STELLA'],$371.43,6.88%,6.88%
ethereum,convex,['FRAX'],['FXS'],"$2,178,213.85",2.84%,2.84%
ethereum,convex,"['FRAX', 'USDC', 'MAI']","['CRV', 'CVX']","$2,278,342.48",2.84%,2.84%
polygon,mstable,"['FRAX', 'mUSD']","['FXS', 'MTA']","$1,473,077.77",1.49%,4.47%
ethereum,dforce,['FRAX'],"['FRAX', 'DFORCE']",$100.34,1.20%,1.20%
bsc,thena,"['FRAX', 'frxETH']",['THE'],$0.00,1.14%,1.14%
bsc,beefy_finance,['FRAX'],['BANANA'],"$303,431.79",1.04%,1373.83%
ethereum,sushiswap,"['FRAX', 'SUSHI']","['FXS', 'SUSHI']","$43,018.57",0.06%,0.28%
fantom,yearn,['FRAX'],['FRAX'],"$38,729.87",0.00%,0.00%
arbitrum,hundred,['FRAX'],"['FRAX', 'HND']",$0.00,0.00%,0.00%
arbitrum,olympus,['FRAX'],['IQ'],$0.00,0.00%,0.00%
arbitrum,stargate,['FRAX'],['STG'],"$699,642.43",0.00%,0.00%
avalanche,arable,['FRAX'],['ACRE'],$101.89,0.00%,0.00%
avalanche,stargate,['FRAX'],['STG'],"$887,295.09",0.00%,0.00%
bsc,thena,"['frxETH', 'sfrxETH']",['THE'],$0.00,0.00%,0.00%
bsc,thena,"['FRAX', 'BNBx']",['THE'],$0.00,0.00%,0.00%
ethereum,angle,['FRAX'],"['FRAX', 'ANGLE']","$7,632.97",0.00%,0.00%
ethereum,curve,"['FRAX', 'USDC']",['CRV'],$0.00,0.00%,0.00%
ethereum,curve,"['FRAX', 'DAI', 'USDC', 'USDT']",['CRV'],$0.00,0.00%,0.00%
ethereum,fluxfinance,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
ethereum,frax,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
ethereum,monolith,"['FRAX', 'USDT']","['FXS', 'SOLID']","$3,214.66",0.00%,0.00%
ethereum,monolith,"['frxETH', 'WETH']","['FXS', 'SOLID']","$1,539,806.85",0.00%,0.00%
ethereum,monolith,"['FXS', 'frxETH']",['SOLID'],$296.81,0.00%,0.00%
ethereum,saddle,"['FRAX', 'USDC', 'USDT']",['SDL'],$98.58,0.00%,0.00%
ethereum,smartcredit,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
ethereum,solidly,"['FRAX', 'USDC']","['SOLID', 'FXS']",$66.15,0.00%,0.00%
ethereum,solidly,"['FRAX', 'USDT']","['SOLID', 'FXS']","$3,214.66",0.00%,0.00%
ethereum,solidly,"['frxETH', 'WETH']","['SOLID', 'FXS']","$1,539,806.85",0.00%,0.00%
ethereum,solidly,"['FRAX', 'frxETH']",['SOLID'],$38.53,0.00%,0.00%
ethereum,solidly,"['FXS', 'frxETH']",['SOLID'],$296.81,0.00%,0.00%
ethereum,stargate,['FRAX'],['STG'],"$207,682.40",0.00%,0.00%
fantom,hundred,['FRAX'],"['FRAX', 'HND']",$0.00,0.00%,0.00%
moonbeam,beefy_finance,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
moonbeam,stellaswap,"['FRAX', 'athUSD', 'USDT', 'BUSD', 'USDC']","['STELLA', 'ATH']","$44,296.71",0.00%,0.00%
moonriver,hundred,['FRAX'],"['FRAX', 'HND']",$0.00,0.00%,0.00%
moonriver,sushiswap,"['FRAX', 'USDC']","['SUSHI', 'MOVR']","$237,865.88",0.00%,0.00%
optimism,hundred,['FRAX'],"['FRAX', 'HND']",$0.00,0.00%,0.00%
optimism,stargate,['FRAX'],['STG'],"$824,081.12",0.00%,0.00%
optimism,velodrome,"['alETH', 'frxETH']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'alUSD']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'DOLA']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'MAI']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'sUSD']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'USD+']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'USDC']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['frxETH', 'sfrxETH']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['frxETH', 'WETH']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'FXS']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'OP']",['VELO'],$0.00,0.00%,0.00%
optimism,velodrome,"['FRAX', 'USDC']",['VELO'],$0.00,0.00%,0.00%
polygon,beefy_finance,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
polygon,dystopia,"['FRAX', 'DYST']",['DYST'],$6.81,0.00%,0.00%
polygon,idex,"['FRAX', 'USDC']",['IDEX'],$18.72,0.00%,0.00%
polygon,idex,"['FXS', 'USDC']",['IDEX'],$126.10,0.00%,0.00%
polygon,marketxyz,['FRAX'],['FRAX'],"$22,698.33",0.00%,0.00%
ethereum,frax,"['FRAX', 'IQ']","['FXS', 'IQ']",$23.31,0.00%,0.00%
ethereum,frax,"['FRAX', 'IQ']","['FXS', 'IQ']",$2.77,0.00%,0.00%
ethereum,frax,"['FRAX', 'IQ']","['FXS', 'IQ']","$9,921.53",0.00%,0.00%
ethereum,frax,"['FRAX', 'pitchFXS']","['FXS', 'PITCH']",$0.00,0.00%,0.00%
ethereum,frax,"['FRAX', 'pitchFXS']","['FXS', 'PITCH']",$3.75,0.00%,0.00%
ethereum,frax,"['FRAX', 'pitchFXS']","['FXS', 'PITCH']","$7,217.63",0.00%,0.00%
ethereum,frax,"['FRAX', 'SYN']","['FXS', 'SYN']","$3,000.98",0.00%,0.00%
ethereum,frax,"['FRAX', 'SDL']","['FXS', 'SDL']",$0.00,0.00%,0.00%
ethereum,frax,"['FRAX', 'ZZ']","['FXS', 'ZZ']","$2,724.71",0.00%,0.00%
ethereum,rari,['FRAX'],['FRAX'],$0.00,0.00%,0.00%
ethereum,saddle,"['FRAX', 'alUSD', 'FEI', 'LUSD']","['FXS', 'TRIBE', 'ALCX', 'LQTY']","$40,400.27",0.00%,0.00%
ethereum,uniswap,"['FRAX', 'FXS']",['FXS'],"$12,375,658.81",0.00%,0.00%
ethereum,uniswap,"['FRAX', 'IQ']","['FXS', 'IQ']",$869.53,0.00%,0.00%
ethereum,uniswap,"['FRAX', 'OHM']","['FXS', 'OHM']",$802.23,0.00%,0.00%
ethereum,uniswap,"['FRAX', 'USDC']",['FXS'],"$49,364.83",0.00%,0.00%
ethereum,uniswap,"['FRAX', 'WETH']",['FXS'],"$8,170.44",0.00%,0.00%
ethereum,uniswap_v3,"['FRAX', 'agEUR']","['FXS', 'FRAX', 'agEUR']","$11,515.27",0.00%,0.00%
polygon,dystopia,"['FRAX', 'USDC']",['DYST'],$0.00,0.00%,0.00%
