date,Bitcoin,Ethereum
2022-08-08,455450642522.25543,213209087779.66412
2022-08-09,443382534834.6949,204260348576.8655
2022-08-10,457270455537.3291,222103417229.72577
2022-08-11,458070674127.7904,225973452853.74725
2022-08-12,466765701334.6809,235254593664.57745
2022-08-13,467078368768.6749,237972056306.98938
2022-08-14,464896345363.0234,232593263080.43414
2022-08-15,462437221425.1544,229440415801.9887
2022-08-16,456791042838.03827,225581585656.9299
2022-08-17,447015816173.3428,220665870251.26813
2022-08-18,444845955425.38696,222652366350.8803
2022-08-19,400810425580.64777,194817731984.87317
2022-08-20,404924875533.8922,189621068133.33334
2022-08-21,413578924865.8514,195324471844.68927
2022-08-22,408409110509.79584,193708156170.03223
2022-08-23,412338357271.39594,199889229686.9934
2022-08-24,409503007623.01685,199117634174.20898
2022-08-25,413843488595.5175,204240810436.6186
2022-08-26,387215087166.7839,181238520850.37888
2022-08-27,383790676113.79205,179887478326.98642
2022-08-28,376180531070.6233,173645963258.54285
2022-08-29,389119405471.2333,187437853967.29883
2022-08-30,379555151404.602,184447549243.54855
2022-08-31,383348414528.78253,186670000430.8127
2022-09-01,385027707310.6654,191078487039.94174
2022-09-02,381788074511.76855,189678877652.6803
2022-09-03,379422449024.2574,187266246294.68723
2022-09-04,382421043401.0045,190082046955.22556
2022-09-05,378685143698.17633,194714097035.8242
2022-09-06,361210437263.86273,188733785486.0839
2022-09-07,369340091982.8708,196797197824.30237
2022-09-08,369723445425.44885,196882691710.49237
2022-09-09,408976281844.7646,206873029263.2678
2022-09-10,415974687298.0947,214315849498.72748
2022-09-11,416073628622.09485,211895058510.3476
2022-09-12,427473787888.3761,205793007270.87155
2022-09-13,386529657258.8565,189778580452.97882
2022-09-14,387486232249.80023,196550513818.88647
2022-09-15,377719382182.44714,177918273632.48117
2022-09-16,377988702161.6817,172471655154.62585
2022-09-17,385486747327.04944,177299639477.4967
2022-09-18,372598380208.27094,161378107849.57123
2022-09-19,374524246937.4287,166370229681.14825
2022-09-20,361980678159.1343,159844149938.74484
2022-09-21,355194467885.9514,151084586604.48166
2022-09-22,372075639498.16974,160415097114.1742
2022-09-23,370913140447.51636,160823914264.80762
2022-09-24,363168779956.3335,159030822515.26553
2022-09-25,360256894978.40894,156146367767.27133
2022-09-26,367613056759.2221,160767471777.8733
2022-09-27,366383164263.7157,160800122124.8998
2022-09-28,372892084645.0075,161716193676.29504
2022-09-29,374830625219.6003,161267455734.36823
2022-09-30,373222100680.7475,160462955554.32846
2022-10-01,370204708063.3375,158410068981.48102
2022-10-02,366195863790.6755,154934842225.90906
2022-10-03,375767908259.0832,159951067075.9052
2022-10-04,390177741507.47705,164781680358.15567
2022-10-05,386368899196.38165,163475522281.134
2022-10-06,382505641462.15643,163307579801.84253
2022-10-07,373170861484.13965,160084472602.33664
2022-10-08,372391945609.07526,159083423929.71472
2022-10-09,372264710552.3351,159586330117.54977
2022-10-10,367207056773.2261,156180434676.1384
2022-10-11,365118514776.26794,154657511483.1829
2022-10-12,367301644901.367,156488571589.45505
2022-10-13,371647189087.47595,155703285133.85605
2022-10-14,367584653730.75476,156801885520.45496
2022-10-15,365870425566.52997,154496140301.9263
2022-10-16,369552982160.53754,157219790372.87076
2022-10-17,375052275829.7958,160690333948.33112
2022-10-18,371196833238.99286,158082173402.60727
2022-10-19,367085331987.69183,154808369275.81442
2022-10-20,365098952754.63934,154512893268.0924
2022-10-21,367999082249.1525,156673724237.28812
2022-10-22,368484939423.55475,158365108378.3375
2022-10-23,375197423662.3941,164218113409.75653
2022-10-24,370622833880.7626,161858058865.06808
2022-10-25,385476931983.84595,176051206695.99817
2022-10-26,398674628646.93066,189173389239.5451
2022-10-27,389238872375.6226,182723289741.9848
2022-10-28,395201306734.5831,187324850268.18915
2022-10-29,399135164712.3964,195052502985.67032
2022-10-30,395548335410.141,191500820025.9781
2022-10-31,393311097043.5727,189478578997.59592
2022-11-01,393218202887.5868,190428736966.3317
2022-11-02,387015867490.0914,183368006193.10986
2022-11-03,387756249891.6283,184398997533.25903
2022-11-04,405987599945.2726,198053929735.65234
2022-11-05,408892506459.0742,196264485041.5907
2022-11-06,401869336200.07385,189763621397.94974
2022-11-07,395168506455.3059,188875473098.02014
2022-11-08,356871594631.61395,160813058133.9897
2022-11-09,301963847693.52637,131794377265.61275
2022-11-10,336597208099.6668,156380990539.85645
2022-11-11,325921112619.09045,155222424523.53937
2022-11-12,322330608513.1628,151059842003.22357
2022-11-13,313605586517.2854,147426038251.7689
2022-11-14,320598982524.9025,149987178583.21732
2022-11-15,324608360619.00433,151062413577.56232
2022-11-16,320099234744.2721,146462319554.31644
2022-11-17,321287480849.7667,144894942760.29672
2022-11-18,320876918352.4405,146145817586.6032
2022-11-19,321151208473.7581,146971097131.67468
2022-11-20,313370674122.3842,137964810712.74976
2022-11-21,303834128504.1595,133733639793.52232
2022-11-22,311463297390.4882,137050514642.06917
2022-11-23,319494112507.07404,142854533237.69275
