date,dex_volume
2022-09-14,1808114106.4860196
2022-09-15,1073348891.417277
2022-09-16,605020941.1581596
2022-09-17,803153712.5655867
2022-09-18,1231194047.3695138
2022-09-19,1102752782.9773564
2022-09-20,1485473538.8586771
2022-09-21,1115980762.4610755
2022-09-22,1215164308.8982947
2022-09-23,705216491.2273587
2022-09-24,591814420.4068404
2022-09-25,972001945.256756
2022-09-26,1250334396.0575545
2022-09-27,1335765527.4224699
2022-09-28,1065859226.476049
2022-09-29,1297844414.7108898
2022-09-30,621090177.7633544
2022-10-01,605593089.0334296
2022-10-02,946928734.8076339
2022-10-03,889742403.9417691
2022-10-04,957777288.7252471
2022-10-05,1176757666.76866
2022-10-06,740409792.5710964
2022-10-07,362774992.02561355
2022-10-08,400551764.1025268
2022-10-09,704192273.6091884
2022-10-10,1848620318.1860197
2022-10-11,453914918.8847945
2022-10-12,1206462212.3613331
2022-10-13,1114125780.559676
2022-10-14,513590949.3044368
2022-10-15,458287079.10592455
2022-10-16,975462794.4155852
2022-10-17,939511855.954777
2022-10-18,692790502.4366542
2022-10-19,717173215.4654722
2022-10-20,925643427.0903203
2022-10-21,444839694.9638425
2022-10-22,712018736.6296625
2022-10-23,990984594.2298093
2022-10-24,1937559963.4751782
2022-10-25,1885722140.9689744
2022-10-26,1563934220.4622746
2022-10-27,1481139500.545953
2022-10-28,1652950357.274818
2022-10-29,1083396005.4521234
2022-10-30,1509932053.2025075
2022-10-31,952369715.0278723
2022-11-01,2110670383.9125319
2022-11-02,1044474517.9814429
2022-11-03,2039266388.212277
2022-11-04,922823904.9024255
2022-11-05,976336044.4424723
2022-11-06,1593157087.1017246
2022-11-07,5099638220.439401
2022-11-08,5959715936.651022
2022-11-09,5505547676.04267
2022-11-10,2986430252.249362
2022-11-11,1773351471.355112
2022-11-12,1300032230.0397358
2022-11-13,1963819757.1887538
2022-11-14,1395624503.5972347
2022-11-15,1343061907.0513742
2022-11-16,1023963796.6483934
2022-11-17,693692233.8235885
2022-11-18,521167221.48688906
2022-11-19,1092620847.2019417
2022-11-20,1787832217.584352
2022-11-21,1488404592.1950166
2022-11-22,1159385116.3263605
2022-11-23,907905065.0351573
2022-11-24,811582509.0455418
2022-11-25,676835003.3470718
2022-11-26,506521507.7847717
2022-11-27,847975870.8202171
2022-11-28,707201420.7892748
2022-11-29,1447259818.6174443
2022-11-30,796067024.5417458
2022-12-01,777212602.1911331
2022-12-02,534208386.9417888
2022-12-03,526798571.2535257
2022-12-04,791878457.3691559
2022-12-05,784434560.6821253
2022-12-06,672505997.0458446
2022-12-07,730008792.6185684
2022-12-08,702613855.6522157
2022-12-09,1097175653.0177495
2022-12-10,417997923.30814815
2022-12-11,728019627.4788213
2022-12-12,1724760882.976438
2022-12-13,1161612320.9390004
2022-12-14,843876509.887917
2022-12-15,1450450518.8281765
2022-12-16,796561883.1148168
2022-12-17,443274668.84075665
2022-12-18,699590518.2238941
2022-12-19,804114069.8511639
2022-12-20,494527632.5547664
2022-12-21,610741231.4735994
2022-12-22,559475398.4700531
2022-12-23,202265420.38826096
2022-12-24,432093128.48502034
2022-12-25,362718950.69690645
2022-12-26,563997361.9874015
2022-12-27,640283326.8723305
2022-12-28,550774461.1254402
2022-12-29,376283706.3332778
2022-12-30,376973140.37806654
2022-12-31,332293017.0067048
