date,Goldfinch,Centrifuge,Credix
2021-11-21,13519283.09865,372673.24724,
2021-11-22,13298478.0847,363232.43455,
2021-11-23,13063355.24272,361865.21857,
2021-11-24,13056811.49564,431084.92317,
2021-11-25,13049729.16047,426465.39935,
2021-11-26,12985686.7706,426671.52954,
2021-11-27,12880393.26569,410642.8805,
2021-11-28,12902150.54251,543137.9124,
2021-11-29,15009974.78814,542216.20736,
2021-11-30,5120839.25164,531820.34798,
2021-12-01,5027944.68115,704931.98138,
2021-12-02,4998127.72063,545632.73958,
2021-12-03,4971234.12489,1583339.7651,
2021-12-04,4945645.12658,2733115.38545,
2021-12-05,4896276.6384,3131830.66908,
2021-12-06,4882781.35688,3193239.93184,
2021-12-07,4888095.23857,3089772.59239,
2021-12-08,4831182.12582,3642981.39994,
2021-12-09,4802323.16268,3208315.05697,
2021-12-10,4764166.48028,2519459.40119,
2021-12-11,4744216.56066,2530395.64261,
2021-12-12,5458106.49289,2528950.13478,
2021-12-13,5340498.95873,2534754.67763,
2021-12-14,6781275.8804,2537599.38165,
2021-12-15,7502398.57331,2393798.20382,
2021-12-16,7492448.9765,1997734.01,
2021-12-17,5982286.40175,1998175.60681,
2021-12-18,6360840.77037,1998175.60681,
2021-12-19,6036446.13299,1993137.09359,
2021-12-20,1195819.73491,1997291.45982,
2021-12-21,1671744.039,2580198.89695,
2021-12-22,2009302.90734,2490198.89695,
2021-12-23,2035400.08408,2163974.02124,
2021-12-24,2034951.15908,2163974.02124,
2021-12-25,2022268.65908,2163974.02124,
2021-12-26,2024604.56007,2163974.02124,
2021-12-27,1990067.66512,2161093.77182,
2021-12-28,1961557.64017,2667189.70037,
2021-12-29,1934799.07668,1500925.6766,
2021-12-30,1965047.29605,1497880.1121,
2021-12-31,1955337.76175,1522469.68887,
2022-01-01,1939700.94936,1609714.23876,
2022-01-02,1928594.90936,1469212.87664,
2022-01-03,1937888.27489,1516536.70102,
2022-01-04,1947880.29108,1975151.50263,
2022-01-05,1996775.55904,2002038.79401,
2022-01-06,7215491.33447,1899702.35892,
2022-01-07,7223258.72177,1660763.38416,
2022-01-08,7580465.1024,1718147.08009,
2022-01-09,7556136.54679,2008419.33393,
2022-01-10,7586734.62326,2004416.87836,
2022-01-11,8925395.69674,4080958.19452,
2022-01-12,17853101.21393,2687593.98912,
2022-01-13,22178445.3414,3516349.67314,
2022-01-14,23065109.37976,1512484.49782,
2022-01-15,23762019.79621,1520837.80396,
2022-01-16,29379295.20394,1517070.67682,
2022-01-17,29816315.83582,1587915.08762,
2022-01-18,30022596.13931,1445395.13223,
2022-01-19,30243122.86453,1595803.18798,
2022-01-20,30116782.48395,1339656.92131,
2022-01-21,28608187.63104,1076506.12623,
2022-01-22,28209345.0099,1097130.86213,
2022-01-23,29749025.07133,1086664.63577,
2022-01-24,30889997.16906,1615550.98831,
2022-01-25,31400323.27509,572829.96815,
2022-01-26,32157155.8325,565640.47008,
2022-01-27,33940247.32422,565640.47008,
2022-01-28,33808618.42612,565640.47008,
2022-01-29,34283595.01732,565639.33879,
2022-01-30,36793208.43357,565640.47008,
2022-01-31,49124778.68971,565640.47008,
2022-02-01,49340994.66395,565640.47008,
2022-02-02,49331099.81369,565640.47008,
2022-02-03,49109701.44633,565640.47008,
2022-02-04,49628596.85594,545477.61727,
2022-02-05,48783833.26465,648391.21463,
2022-02-06,48829839.20975,648391.21463,
2022-02-07,48772958.6369,648391.21463,
2022-02-08,49594023.88922,690238.17887,
2022-02-09,49541952.51858,949637.71607,
2022-02-10,49722357.35487,1489303.44949,
2022-02-11,50562949.90889,1981924.0392,
2022-02-12,50690755.12101,1998472.23395,
2022-02-13,50076234.24291,2000470.70618,
2022-02-14,50815068.4997,1203355.44483,
2022-02-15,50793630.60582,1203355.44483,
2022-02-16,50963836.86465,1204557.59813,
2022-02-17,50989739.76731,1201591.88596,
2022-02-18,51583850.99151,1177926.9356,
2022-02-19,52247094.98649,1167846.21579,
2022-02-20,53474594.78184,1165515.18542,
2022-02-21,21153178.39542,1269626.00391,
2022-02-22,22371383.86245,1431577.86389,
2022-02-23,22665444.22836,2767020.87546,
2022-02-24,21510363.9784,2566788.64227,
2022-02-25,12358813.17447,1838974.69301,
2022-02-26,12803130.14917,1844256.89533,
2022-02-27,12588120.51527,1847941.72429,
2022-02-28,12911698.07951,1414832.11871,
2022-03-01,12931060.07264,3491486.62227,
2022-03-02,13038282.25673,3484029.28121,
2022-03-03,18130935.87628,3491486.62227,
2022-03-04,20775846.01947,3522660.81593,
