date,ethereum_compound,total_fees
2020-09-05,10579.654337691949,10579.654337691949
2020-09-06,10196.775346251981,10196.775346251981
2020-09-07,10150.118211118337,10150.118211118337
2020-09-08,9279.124874591771,9279.124874591771
2020-09-09,8723.552615787514,8723.552615787514
2020-09-10,9561.272505176496,9561.272505176496
2020-09-11,9536.791845086987,9536.791845086987
2020-09-12,11544.750598581088,11544.750598581088
2020-09-13,14614.19030652364,14614.19030652364
2020-09-14,18337.77322401491,18337.77322401491
2020-09-15,16585.058995889933,16585.058995889933
2020-09-16,12781.648854147339,12781.648854147339
2020-09-17,10130.428408458098,10130.428408458098
2020-09-18,8172.073263196313,8172.073263196313
2020-09-19,8780.84876195915,8780.84876195915
2020-09-20,8221.012028855033,8221.012028855033
2020-09-21,8186.981448737414,8186.981448737414
2020-09-22,8540.169933305819,8540.169933305819
2020-09-23,8383.286692664664,8383.286692664664
2020-09-24,8855.884707179574,8855.884707179574
2020-09-25,8658.420060732808,8658.420060732808
2020-09-26,8692.712126134302,8692.712126134302
2020-09-27,8552.705243787592,8552.705243787592
2020-09-28,9080.982818125822,9080.982818125822
2020-09-29,9101.483213736758,9101.483213736758
2020-09-30,8875.514968091271,8875.514968091271
2020-10-01,8339.310305412688,8339.310305412688
2020-10-02,8533.328890808807,8533.328890808807
2020-10-03,8399.343945399303,8399.343945399303
2020-10-04,8542.09113259137,8542.09113259137
2020-10-05,9133.903423654068,9133.903423654068
2020-10-06,8583.224360735152,8583.224360735152
2020-10-07,8767.639798691938,8767.639798691938
2020-10-08,9354.421975261099,9354.421975261099
2020-10-09,9474.114168922464,9474.114168922464
2020-10-10,10098.55683248055,10098.55683248055
2020-10-11,9921.292411272501,9921.292411272501
2020-10-12,10069.091509493279,10069.091509493279
2020-10-13,11842.335010253983,11842.335010253983
2020-10-14,12323.507574019288,12323.507574019288
2020-10-15,13394.808106776421,13394.808106776421
2020-10-16,14704.20146384567,14704.20146384567
2020-10-17,13079.829311342559,13079.829311342559
2020-10-18,14488.025832935478,14488.025832935478
2020-10-19,11269.713022648912,11269.713022648912
2020-10-20,11892.395490410305,11892.395490410305
2020-10-21,11807.697023234232,11807.697023234232
2020-10-22,12544.675735872492,12544.675735872492
2020-10-23,13660.41145546738,13660.41145546738
2020-10-24,12541.3151688075,12541.3151688075
2020-10-25,12488.594765745263,12488.594765745263
2020-10-26,12720.05870050714,12720.05870050714
2020-10-27,12707.3274862212,12707.3274862212
2020-10-28,12718.169293477993,12718.169293477993
2020-10-29,12211.40559698076,12211.40559698076
2020-10-30,12129.230736963904,12129.230736963904
2020-10-31,12391.396136003945,12391.396136003945
2020-11-01,12332.491148266068,12332.491148266068
2020-11-02,12085.89491333394,12085.89491333394
2020-11-03,12299.405532090363,12299.405532090363
2020-11-04,13696.829778514302,13696.829778514302
2020-11-05,14018.95739168264,14018.95739168264
2020-11-06,14848.82102779421,14848.82102779421
2020-11-07,14329.493551319565,14329.493551319565
