date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2022-06-19,1844.0732851862815,219490.16255943038,120884.49305290559,0,0,263.7609928070535,0,149.11799921356132,0,141.89723545071072,6868.93243455202,1879.7920735683283,351522.2296331139
2022-06-20,1595.621969617457,220154.8725208207,120918.55115761295,0,0,285.7770383515086,0,153.80021064851823,0,130.01117184704202,8345.110765063751,1662.9006734806305,353246.64550744253
2022-06-21,1486.3592980033848,205080.7130731809,120218.673331602,0,0,293.92720559221493,0,197.96564871665538,0,138.21694224673254,7157.384327928835,1657.7582634153202,336230.99809068604
2022-06-22,1354.217834448269,202802.63730782844,111670.18730331701,0,0,516.9653174346635,0,203.23281931319013,0,144.23977091281742,7724.232605612033,2080.1323757979185,326495.84533466434
2022-06-23,1588.068660306035,211293.54925697148,104289.40725184626,0,0,377.1622892268375,0,173.99175092448826,0,150.06399078025245,6780.805092596578,1465.7987319284382,326118.8470245804
2022-06-24,1751.4627544591817,201639.64869252747,108507.03801107733,0,0,287.26703497068445,0,8101.394087750455,0,152.31589183813162,6810.166958856773,1451.342298856869,328700.6357303369
2022-06-25,1278.8992819707557,205170.13057800467,102657.01197854866,0,0,198.02594203818165,0,8335.718147799986,0,167.9347202823509,5678.640109579325,1346.2071532613393,324832.56791148527
2022-06-26,1331.6087374911003,204197.54408842616,109796.13196532872,0,0,177.3307979704686,0,7679.874713091625,0,149.56555087484708,6549.8436673411115,1311.32115879984,331193.2206793239
2022-06-27,1524.4026902135665,202127.28326641084,102267.5743056382,0,0,171.9038285224167,0,7315.606277079734,0,136.9564884445193,6353.724180096071,1389.5733982330282,321287.0244346384
2022-06-28,1585.9786318910167,201736.02897273863,119808.54440576554,0,0,167.55242883068112,0,6680.29868958247,0,179.44417427502154,6299.065463575202,1252.381059862035,337709.2938265206
2022-06-29,1302.7218729045399,200796.2825970439,119083.1056940273,0,0,175.69124925239078,0,6140.7640843963445,0,267.39597672859765,6240.397594045133,1300.3164359556404,335306.67550435377
2022-06-30,1311.0738093402829,201076.944548492,118256.8943790826,0,0,159.9805602284377,0,6054.788502844177,0,2556.5874220477153,5663.604493265253,1390.0702302676757,336469.9439455682
2022-07-01,1358.7387819461696,192465.91612104655,120339.53859670699,0,0,158.60378865690197,0,5746.239355508881,0,150.52564511546285,5863.091336344183,1332.1228074259002,327414.77643275104
2022-07-02,1335.962143144788,194987.87288478005,115100.41278821352,0,0,203.545258134137,0,5595.181439319617,0,133.83679312746045,5668.037521291641,1263.704499696318,324288.5533277076
2022-07-03,2128.3942337893322,177177.89430277445,97344.61907766885,0,0,252.3220526346088,0,5864.584533553227,0,163.0703616262093,5727.7562145055845,1239.665062865374,289898.3058394177
2022-07-04,1766.869956622342,164070.09625873397,126173.0000165887,0,0,256.3538831103673,0,6386.552162834019,0,218.55534590450455,6094.382154151979,1419.2684617789118,306385.07823972485
2022-07-05,1421.194753992977,180031.0342772483,122738.80424788792,0,0,204.7103321568356,0,5946.630863520801,0,129.2543983462647,6271.65268266025,2090.7500475400993,318834.03160335345
2022-07-06,1305.7170813362059,132524.4385654883,124670.0048648378,0,0,184.0470666697224,0,6214.776579594097,0,158.39118200032928,5533.226055102989,1768.03248364675,272358.6338786762
2022-07-07,1304.6713330356592,126792.96381050357,124981.36853419626,0,0,177.85914523534416,0,6713.893786362955,0,245.07937602984228,6304.622259168869,1543.2605123172111,268063.71875684976
2022-07-08,1427.9785393311627,131905.2122938516,202124.59162554113,0,0,198.89817501761718,0,6710.170287228462,0,156.93009610343557,6231.355674496101,1525.3578983239886,350280.4945898935
2022-07-09,1247.1719335340483,132974.76647073467,183159.41818974202,0,0,178.85724629447546,0,7686.615906891346,0,275.2963780325331,5387.636840948006,1329.934624492098,332239.6975906692
2022-07-10,1302.7814865194962,131403.5906458867,120693.43126561261,0,0,163.86208644755223,0,7542.967268483998,0,174.52233835198135,4995.502404739548,1228.1290564752896,267504.7865525172
2022-07-11,1438.9230036369045,129128.44118445323,114647.70497237318,0,0,175.94510906605254,0,7191.405542857076,0,252.63086964664052,5251.641662584015,1292.6515814486831,259379.34392606578
2022-07-12,1606.0450224011158,126169.48325300048,104803.99914481105,0,0,167.2912658070202,0,6867.443090670359,0,232.96705987613754,5162.034345392589,1424.7032755244436,246433.9664574832
2022-07-13,1306.0156220132835,118795.60073050417,114942.82150634065,0,0,195.02745434262135,0,7487.088671539484,0,159.3455614429433,5510.49398096749,1370.759499533065,249767.1530266837
2022-07-14,1320.6189226114634,116472.67361121968,130398.06874447157,0,0,292.8322704658286,0,7180.7689276412775,0,157.36757425793255,5952.159219171,1369.9546133891379,263144.4438832279
2022-07-15,1247.5286761748955,118852.32436857748,123444.0347183772,0,0,222.4049063488802,0,4081.797067577372,0,150.27197598236464,5431.082283014167,1324.414039307011,254753.8580353594
2022-07-16,1273.429227547769,122903.59294757074,122409.20313315679,0,0,288.9876885235597,0,340.09497959093324,0,217.7410954860649,5177.277905837071,1341.7747736589934,253952.10175137193
2022-07-17,1236.4791560762276,132137.3588434024,116726.59235606245,0,0,230.08536798916606,0,399.33209476481716,0,237.1730915793712,5770.987410093053,1351.1238492823315,258089.13216924985
2022-07-18,1446.3719972761742,142187.833645901,137542.6832486629,0,0,242.26919286168533,0,317.40075404838944,0,549.3966143950789,6374.289397776055,1568.459205909401,290228.70405683067
2022-07-19,1452.1326695181112,145333.01059173062,138360.64343645982,0,0,222.71274394077284,0,407.7302293648675,0,397.0650158535737,5778.154134957179,1427.9315936608173,293379.38041548576
2022-07-20,1304.0474752087048,155108.594151364,223778.39274050825,0,0,158.21012085940717,0,337.61038901228414,0,254.6868037957213,6155.713559868619,2099.0868359186,389196.3420765356
2022-07-21,1289.6760674682826,161579.7884127263,195173.96270676507,0,0,181.62309735265683,0,422.9042532066806,0,279.5307843834509,5502.767675291045,2438.7523265706004,366869.0053237641
2022-07-22,1288.0225557830104,129593.71213624845,136309.69562178143,0,0,202.03086184720064,0,335.305071337559,0,395.05999053832613,6224.017591351162,1824.766145117256,276172.6099740044
2022-07-23,1170.7874844504481,102292.600694433,123080.57620463891,0,0,189.8542213071912,0,392.6638593719948,0,213.58278035491352,6861.752860654013,1695.8754024386437,235897.69350764912
2022-07-24,1180.1518237815155,104016.8737897538,260247.83380893926,0,0,180.9010891984961,0,224.13187131381622,0,306.77644095387774,6527.487263270107,2285.258407186889,374969.41449439776
2022-07-25,1240.6978783034099,104086.61379398615,181508.58288293378,0,0,211.0082517080252,0,484.17839640629046,0,332.44169166268165,7085.086050180435,1674.5775034803705,296623.18644866114
2022-07-26,1122.201031217313,95801.28549723768,155883.6450358922,0,0,430.4915971413082,0,367.65238757500316,0,308.72966045245727,6441.605730370046,1619.9236793604416,261975.53461924646
2022-07-27,1213.1022741917814,96991.54784545158,121102.30380063907,0,0,326.16776545729897,0,225.54814702505212,0,300.1432634443401,6169.7491413628595,1949.7128305404754,228278.27506811245
2022-07-28,1226.586105249829,110031.9475923206,138519.776625643,0,0,211.24721691809367,0,493.82708400685215,0,283.30892395305955,6138.967289834001,2345.8716702689944,259251.53250819445
2022-07-29,1418.809714829505,129301.65834708376,130701.47515600933,0,0,222.27289687036173,0,418.0042628480811,0,245.6032123100552,5717.114437580258,2368.893326129425,270393.8313536608
2022-07-30,1087.4387832922798,128015.37162080771,555199.9672384353,0,0,209.1207602704535,0,503.3488695476942,0,249.99152996533192,5172.043132200248,2139.016173676572,692576.2981081955
2022-07-31,1283.3152231199144,102723.7151020415,516056.78017743846,0,0,190.88361884597114,0,211.01957972590395,0,244.55436159897346,5510.649008212603,1896.7398153753606,628117.6568863587
