date,volume
2021-06-24,524640976.6148287
2021-06-25,439126717.239631
2021-06-26,450204961.3386155
2021-06-27,444016176.7541394
2021-06-28,429817998.2775184
2021-06-29,570422691.5102419
2021-06-30,450077469.9711183
2021-07-01,374467383.63842076
2021-07-02,350604086.89661646
2021-07-03,337324946.77790785
2021-07-04,335737491.4263842
2021-07-05,364733770.4727863
2021-07-06,359741294.1858416
2021-07-07,338784693.51802534
2021-07-08,399406786.6147285
2021-07-09,411005663.3901321
2021-07-10,295995920.80762744
2021-07-11,258417833.99087664
2021-07-12,290775171.7994894
2021-07-13,311855590.34177715
2021-07-14,419422998.70952904
2021-07-15,362772566.141388
2021-07-16,668384553.0299282
2021-07-17,412937171.1247709
2021-07-18,308616112.3023007
2021-07-19,286787894.67800707
2021-07-20,397799245.7504505
2021-07-21,413109694.34290934
2021-07-22,1005347338.594841
2021-07-23,852840957.347513
2021-07-24,465088049.253189
2021-07-25,344408921.4091672
2021-07-26,708964008.2698355
2021-07-27,466702906.2627814
2021-07-28,697823424.9755436
2021-07-29,450481948.308376
2021-07-30,557341283.0626432
2021-07-31,553469645.8590521
2021-08-01,632087385.9994524
2021-08-02,565507487.3960407
2021-08-03,466373922.32019836
2021-08-04,452766967.5327046
2021-08-05,545618598.6646029
2021-08-06,491400622.4120225
2021-08-07,839496242.8742121
2021-08-08,560777400.4091322
2021-08-09,591978824.419731
2021-08-10,662891352.8281636
2021-08-11,1135414521.3777504
2021-08-12,1030317328.0096159
2021-08-13,1007784996.3721374
2021-08-14,1349969085.5017185
2021-08-15,1192628583.6095
2021-08-16,1008982886.3645748
2021-08-17,795318345.0293845
2021-08-18,674162126.329418
2021-08-19,679456394.9409165
2021-08-20,756612586.5875726
2021-08-21,467238024.3237255
2021-08-22,562363771.4742309
2021-08-23,753832176.5546931
2021-08-24,587422442.4432486
2021-08-25,618854449.6441485
2021-08-26,567461165.5453885
2021-08-27,593802030.3596705
2021-08-28,441167103.5216079
2021-08-29,412840639.8540916
2021-08-30,476806020.03309685
2021-08-31,725976245.9148297
2021-09-01,691647115.4243602
2021-09-02,762284019.4336809
2021-09-03,756365567.5041708
2021-09-04,720231599.217608
2021-09-05,843301191.680857
2021-09-06,1655290012.0955777
2021-09-07,2046531747.379127
2021-09-08,1282062299.7166827
2021-09-09,829154113.2652204
2021-09-10,996236619.5724409
2021-09-11,555655952.3124968
2021-09-12,519357809.05994564
2021-09-13,644651773.5855438
2021-09-14,456759615.8512759
2021-09-15,495005752.4309482
2021-09-16,587322869.2758847
2021-09-17,554343519.492013
2021-09-18,399599791.48598117
2021-09-19,360911494.94044155
2021-09-20,790688249.6824224
2021-09-21,619427882.1997726
2021-09-22,552111502.9883546
2021-09-23,488280807.1444689
2021-09-24,557488209.4569967
2021-09-25,371264624.9130067
2021-09-26,409150727.96209043
2021-09-27,337276962.2647511
2021-09-28,350227504.6257617
2021-09-29,435966341.0159528
2021-09-30,372666600.14889884
2021-10-01,576841153.3241967
