Date,goldfinch-borrowed,goldfinch-Ethereum-borrowed,goldfinch-Ethereum
2022-05-29,82507250.51821,82507250.51821,1972787.64873
2022-05-30,82507250.51821,82507250.51821,1972988.23779
2022-05-31,82342729.57858,82342729.57858,2012891.73711
2022-06-01,82342729.57575,82342729.57575,1906673.14188
2022-06-02,82342729.57575,82342729.57575,2036545.86124
2022-06-03,82110096.96912,82110096.96912,2041170.75452
2022-06-04,82342729.57575,82342729.57575,2345487.88503
2022-06-05,82342729.57575,82342729.57575,2345487.88087
2022-06-06,82342729.57575,82342729.57575,2343775.6091
2022-06-07,82342729.57173,82342729.57173,2403631.20277
2022-06-08,82260469.10263,82260469.10263,2711897.23372
2022-06-09,82236120.00378,82236120.00378,2688596.85731
2022-06-10,82342729.56517,82342729.56517,2561391.7609
2022-06-11,82342729.56517,82342729.56517,2074420.43036
2022-06-12,82260469.09608,82260469.09608,2068935.84419
2022-06-13,82589510.97246,82589510.97246,2076026.42433
2022-06-14,82507250.50337,82507250.50337,2068782.18951
2022-06-15,82507250.50337,82507250.50337,2116347.64112
2022-06-16,82671771.43906,82671771.43906,2075334.29153
2022-06-17,82589510.96997,82589510.96997,2054606.07676
2022-06-18,82342729.56269,82342729.56269,2043031.17762
2022-06-19,82424990.03178,82424990.03178,2043525.27968
2022-06-20,82507250.49341,82507250.49341,2069191.29429
2022-06-21,82424990.02433,82424990.02433,2035023.7964
2022-06-22,82424990.02232,82424990.02232,2058325.69474
2022-06-23,103552488.14197,103552488.14197,2038055.53397
2022-06-24,103824859.85207,103824859.85207,2040329.20292
2022-06-25,103244323.88169,103244323.88169,2092642.40579
2022-06-26,102935517.31818,102935517.31818,2118244.19233
2022-06-27,102738152.83545,102738152.83545,1813003.43872
2022-06-28,102523656.01286,102523656.01286,1813103.52944
2022-06-29,102523656.02337,102523656.02337,1811198.07662
2022-06-30,102513639.52362,102513639.52362,1799393.15755
2022-07-01,102718461.30366,102718461.30366,1802987.7105
2022-07-02,102616450.87538,102616450.87538,1786192.44777
2022-07-03,102514039.24776,102514039.24776,1739237.69358
2022-07-04,102411677.74013,102411677.74013,1736396.21338
2022-07-05,102616501.09561,102616501.09561,1733888.55263
2022-07-06,102514089.41381,102514089.41381,1778234.5095
2022-07-07,100512189.53839,100512189.53839,1776951.70317
2022-07-08,100512293.64228,100512293.64228,1728367.3829
2022-07-09,100714279.12347,100714279.12347,1726639.80052
2022-07-10,100710219.47269,100710219.47269,1722279.72115
2022-07-11,100710207.36875,100710207.36875,1741868.48235
2022-07-12,100609798.38655,100609798.38655,1732959.91411
2022-07-13,100509389.40612,100509389.40612,1722930.70203
2022-07-14,100509389.39861,100509389.39861,1749069.21172
2022-07-15,100514408.66515,100514408.66515,1748662.03088
2022-07-16,100444494.66797,100444494.66797,1837407.91252
2022-07-17,100417173.76505,100417173.76505,1802611.61142
2022-07-18,100544938.34682,100544938.34682,1804464.49776
2022-07-19,100851488.12854,100851488.12854,1814223.33543
2022-07-20,101007173.89054,101007173.89054,1967558.23143
2022-07-21,100383874.64088,100383874.64088,1905079.89691
2022-07-22,100456441.11519,100456441.11519,1899624.29244
2022-07-23,100703778.43928,100703778.43928,1903930.22833
2022-07-24,100502772.89349,100502772.89349,1891533.02839
2022-07-25,100604437.62093,100604437.62093,1973817.90684
2022-07-26,100805445.47177,100805445.47177,1971473.38697
2022-07-27,100604426.98997,100604426.98997,1953331.88842
2022-07-28,100481510.69206,100481510.69206,1950845.37235
2022-07-29,100604426.98997,100604426.98997,1950538.90822
2022-07-30,100604421.23914,100604421.23914,1955634.63706
2022-07-31,100466730.87241,100466730.87241,1951242.78905
2022-08-01,100503917.32179,100503917.32179,1946435.42611
2022-08-02,100704925.15643,100704925.15643,1950099.84096
2022-08-03,100210411.71684,100210411.71684,1793492.76732
